Time:21:42:42:304  [175] RopeEncLoc=-0.440,-105.241,-62.249,-113.885,18.522,70.229
Time:21:42:42:306  [176] Move.Joint RopeEncLoc
Time:21:42:44:1  [176] 1
Time:21:42:54:33  [177] 0 -0.440,-105.243,-62.249,-113.883,18.520,70.228,0.000,0.000,0.000
Time:21:42:54:110  [178] 0
Time:21:42:54:132  [179] 0
Time:21:43:0:100  [177] Robot.WhereAngle 1
Time:21:43:0:102  [178] RopeEncLoc=5.307,-105.241,4.801,-84.493,3.842,85.432
Time:21:43:0:608  [179] Move.Joint RopeEncLoc
Time:21:43:6:76  [179] 1
Time:21:43:16:107  [180] 0 5.305,-105.244,4.802,-84.490,3.840,85.431,0.000,0.000,0.000
Time:21:43:16:213  [181] 0
Time:21:43:16:236  [182] 0
Time:21:43:22:452  [180] Robot.WhereAngle 1
Time:21:43:22:455  [181] RopeEncLoc=15.503,-95.442,-22.216,-62.312,-8.405,94.872
Time:21:43:22:457  [182] Move.Joint RopeEncLoc
Time:21:43:24:73  [182] 1
Time:21:43:34:95  [183] 0 15.502,-95.442,-22.216,-62.310,-8.407,94.870,0.000,0.000,0.000
Time:21:43:34:196  [184] 0
Time:21:43:34:218  [185] 0
Time:21:43:40:249  [183] Robot.WhereAngle 1
Time:21:43:40:253  [184] RopeEncLoc=25.684,-85.706,-42.441,-43.897,-16.151,109.183
Time:21:43:40:257  [185] Move.Joint RopeEncLoc
Time:21:43:41:322  [185] 1
Time:21:43:51:344  [186] 0 25.685,-85.706,-42.442,-43.895,-16.153,109.183,0.000,0.000,0.000
Time:21:43:51:415  [187] 0
Time:21:43:51:440  [188] 0
Time:21:43:57:524  [186] Robot.WhereAngle 1
Time:21:43:57:527  [187] RopeEncLoc=37.912,-106.868,-37.299,-16.762,-30.105,96.383
Time:21:43:57:528  [188] Move.Joint RopeEncLoc
Time:21:43:59:298  [188] 1
Time:21:44:9:319  [189] 0 37.912,-106.867,-37.297,-16.760,-30.106,96.381,0.000,0.000,0.000
Time:21:44:9:418  [190] 0
Time:21:44:9:438  [191] 0
Time:21:44:15:342  [189] Robot.WhereAngle 1
Time:21:44:15:847  [190] RopeEncLoc=20.170,-115.124,14.202,-3.932,0.512,80.605
Time:21:44:15:850  [191] Move.Joint RopeEncLoc
Time:21:44:19:669  [191] 1
Time:21:44:29:693  [192] 0 20.166,-115.124,14.204,-3.930,0.512,80.603,0.000,0.000,0.000
Time:21:44:29:778  [193] 0
Time:21:44:29:801  [194] 0
Time:21:44:36:176  [192] Robot.WhereAngle 1
Time:21:44:36:181  [193] RopeEncLoc=6.271,-93.528,14.202,-79.839,0.512,80.603
Time:21:44:36:182  [194] Move.Joint RopeEncLoc
Time:21:44:42:731  [194] 1
Time:21:44:52:731  [195] 0 6.267,-93.529,14.205,-79.839,0.511,80.600,0.000,0.000,0.000
Time:21:44:59:50  [195] Robot.WhereAngle 1
Time:21:51:20:458  [1] 0
Time:21:51:20:463  [2] 0
Time:21:51:20:464  [3] 0
Time:21:51:20:466  [4] 0
Time:21:51:20:468  [5] 0
Time:21:51:20:470  [6] 0
Time:21:51:20:472  [6] 1
Time:21:51:20:474  [7] 0
Time:21:51:20:479  [8] 0
Time:21:51:20:480  [9] 0
Time:21:51:20:481  [10] 0
Time:21:51:26:161  [1] System.Login 0
Time:21:51:26:670  [2] Thread.Abort "MacroThread"
Time:21:51:26:671  [3] Thread.Start "MacroThread"
Time:21:51:26:673  [4] Robot.Attached 1
Time:21:51:26:674  [5] System.ClearVariables
Time:21:51:26:675  [6] Robot.PowerEnable 1,1
Time:21:51:26:676  [7] Robot.Home 1
